name,mean_squared_error
svm,0.02964144098964646
svm,0.03911044129232576
svm,0.04021877984773445
svm,0.04858984754324705
svm,0.03647498814748123
svm,0.0392138141987797
svm,0.05238500405044682
svm,0.028416169838439496
svm,0.03914326096480813
svm,0.03515785982990331
knn,0.028313741385637248
knn,0.03655963245542695
knn,0.044156784247103655
knn,0.03955141329262103
knn,0.03891348475973366
knn,0.04122521610582643
knn,0.05436140519532212
knn,0.018624045410144823
knn,0.0345813682771914
knn,0.039518810127506784
random_forest,0.014247921032672733
random_forest,0.018424147754729066
random_forest,0.01809866429967762
random_forest,0.019619935921613738
random_forest,0.02259717453412355
random_forest,0.02682707870145289
random_forest,0.02356514693830117
random_forest,0.01450390403090893
random_forest,0.01961034247239663
random_forest,0.026541066657430442
decision_tree,0.02610584766048607
decision_tree,0.05759402420066725
decision_tree,0.0525715187576468
decision_tree,0.027501338511696293
decision_tree,0.04234067391603539
decision_tree,0.07302000427403424
decision_tree,0.055756837122369445
decision_tree,0.02320967546564518
decision_tree,0.05814752856114875
decision_tree,0.05513921936493265
random,0.05992496434844047
random,0.06943605705952008
random,0.05587516906194094
random,0.10968877793026896
random,0.05550910479787359
random,0.07546457722826462
random,0.07534723908582065
random,0.07780339572621257
random,0.10200364859574566
random,0.054162302367874386
default,0.028787082869669512
default,0.0389548703093179
default,0.04072118376151646
default,0.04892914616223005
default,0.03674968702740909
default,0.03895408258537448
default,0.053268205839100066
default,0.02808915162890169
default,0.03843712220794228
default,0.035431618059331906
svm,0.013943764863086034
svm,0.048942634630102816
svm,0.16194094433538989
svm,0.09849333981166682
svm,0.03758970729646351
svm,0.0186876660795602
svm,0.057617880982304366
svm,0.09675847205228778
svm,0.0144518373862193
svm,0.04096909345439244
knn,0.061915524529521794
knn,0.014404516329787577
knn,0.11368973139981291
knn,0.10490614518152835
knn,0.013945164159482425
knn,0.004065035555351488
knn,0.06022986968734166
knn,0.09652098336567443
knn,0.04840686593140087
knn,0.013303599434071304
random_forest,0.011488313238239253
random_forest,0.02948937251046286
random_forest,0.12702504931503897
random_forest,0.03368550675759969
random_forest,0.002062135723210064
random_forest,0.010104865227117935
random_forest,0.004261233842195563
random_forest,0.006672734125489729
random_forest,0.003133453446503625
random_forest,0.004303259299108647
decision_tree,0.015694118538877647
