ANN	CART	RF	DWNN	SVM	Random	Default
0.03002673246114305	0.006288530302381812	0.011812756783094255	0.009209816392783825	0.04917381024353641	0.09013290437909026	0.04391505042077247
0.023730425062769477	0.016276053995030234	0.021444746118211382	0.022811549024979717	0.03440059288497564	0.06676586034392966	0.05326716598839809
0.023025485831577513	0.010101764007987445	0.007760739209036155	0.008877469990106268	0.030126283709912292	0.06891625716667556	0.03287313266060856
0.038650426184351064	0.012972272968004411	0.00935748973852514	0.02099595091237791	0.03893637358098337	0.0706756912995153	0.04839596484500499
0.03292726920054254	0.020011137637372868	0.006186473153076727	0.012290103810543601	0.03140748439523774	0.10911170693303117	0.0439625373921172
0.0326920204643233	0.010021410698433264	0.006593822811798033	0.011672688387237274	0.0277150319937683	0.08242072610765609	0.036481418897702136
0.03520357534375039	0.012602350304872566	0.010017428669031742	0.010497676644476492	0.034503970136372096	0.0717286051931255	0.02490836076566366
0.03468214859576688	0.0108514320880365	0.010381787048976866	0.009512641134904486	0.041953582974295	0.09661920331243451	0.029387914977805202
0.032936147433260426	0.00846069981475768	0.009687284693292237	0.006615425726650669	0.03955524566291992	0.07713550563259758	0.0323576445769322
0.04120897218811489	0.026507994624016883	0.005560886398231126	0.009347957898098776	0.05642268853785974	0.0779916407506559	0.04138450695518796
0.06226003028669643	0.018123847394076076	0.0038955778311715373	0.010504588542638279	0.04067143838488211	0.09823966053448685	0.03270597084705255
0.0473169603882511	0.012903534480374419	0.0074418606018646135	0.01340098900393728	0.039636763881581785	0.08030992096475668	0.0426856617304311
0.02708649139569827	0.006722254474397023	0.010942691854504746	0.019642863631305595	0.0337364940136443	0.08434514188642815	0.04205539661190697
0.04042308780150998	0.019891992905789378	0.006157587850146658	0.013165612742537653	0.027549503509462746	0.05843558506398411	0.06505619821947492
0.030756168676245782	0.021247846370333674	0.007894802963896753	0.005683202628596373	0.02477816263806813	0.07513894240005539	0.05050352718103286
0.04540865191825457	0.014812953388120964	0.009486222917541478	0.00979085909743807	0.05370876305115613	0.06509280702845818	0.047345214408390526
0.03356921081995956	0.010735084220428256	0.02066789368684474	0.011796206247117347	0.037146368573354745	0.06808161468893115	0.04867234254279044
0.03568511162329868	0.004175124037959563	0.01215270836375241	0.013743675965988222	0.037544221199250875	0.07595836817980542	0.0441542266391602
0.0430607274639567	0.009229462381191055	0.005435200828052575	0.007386138858859275	0.04160943679110962	0.053531581065685827	0.04126808442996155
0.04209263892908729	0.009431437858763114	0.009478629814861786	0.010382417064497527	0.035318560846830514	0.10687008697532115	0.042448377990620435
0.03525694378840207	0.013797474229864862	0.004536457616772559	0.01789701202703724	0.033923548158226	0.0690437882107732	0.029643638416884256
0.03234209799968081	0.01689512383148922	0.005421862033271061	0.009919211432717064	0.03435275496229092	0.10283842962070891	0.042983218167874926
0.04605049053043307	0.01768686817076995	0.007184492357306541	0.012081582072262235	0.02763630241433701	0.08377393637424473	0.04600544441067912
0.03942560853238326	0.014502591624642314	0.005523152353913116	0.007147718179933553	0.03438877807068981	0.060062089904097296	0.037766490126146225
0.037911556379152986	0.015117770078626181	0.014471877129902767	0.01881325153557254	0.024584798437286736	0.07409829829440595	0.03934188956076545
0.0440870166348813	0.007798705872503345	0.004768173719865438	0.014985843319645892	0.03297016013219724	0.10581168779080011	0.03368253559439012
0.0333527137938893	0.03718861317519661	0.007626526843879605	0.012061442914531722	0.04081883562740465	0.09465746226609732	0.031048771018165784
0.0529562418232173	0.014613077123379056	0.009206863484122585	0.007708783277163666	0.031673173789600426	0.05673338575964726	0.02754925867662219
0.03486903859517533	0.012156242384902883	0.008780925231635218	0.011400209892093671	0.0320552107508487	0.10931604838169391	0.034451535443525964
0.034250877440578906	0.012987344681037908	0.007306885776807821	0.008532848128236455	0.051827316263210174	0.061415705364645204	0.04198211518027127
0.023576033995493195	0.011181846749976363	0.008605014671845856	0.013344163571145312	0.04734849159050488	0.07478139273684806	0.039707637664990206
0.04971285422610738	0.020803202320471136	0.005147617766368523	0.007538139058292384	0.032686571437985444	0.04832130328654194	0.04046423758813909
0.03399684686003466	0.02231367262202816	0.004640637961721242	0.01777578192510239	0.04607415426779475	0.07759830493746775	0.05829905898597613
0.03863641721378522	0.011216102099433297	0.004859571092457137	0.01620520183845489	0.04109888877734331	0.09672698599433212	0.040672310935675034
0.037491188941617806	0.0075113202479414306	0.005478423853138133	0.013855637394196693	0.04093881342766197	0.1097644058275731	0.03315591752313424
0.038390342530477725	0.010281717246718796	0.008224831217438437	0.013437209028367699	0.028714221746421187	0.055865563424710295	0.039983262317787996
